,pitch,start,end,duration,next_note
14200,67,24,26,2,65_2
14201,65,28,29,1,70_1
14202,64,14,16,2,69_4
14203,65,24,28,4,60_2
14204,60,16,20,4,67_4
14205,69,20,24,4,62_4
14206,62,22,24,2,69_4
14207,67,26,28,2,65_2
14208,69,26,28,2,67_2
14209,69,26,28,2,67_2
14210,64,26,28,2,60_2
14211,62,29,30,1,67_1
14212,65,29,30,1,68_1
14213,60,26,28,2,71_2
14214,69,26,28,2,60_2
14215,65,26,28,2,71_2
14216,67,26,28,2,62_2
14217,67,26,28,2,62_2
14218,60,26,28,2,60_2
14219,65,26,28,2,65_2
14220,67,12,16,4,69_4
14221,65,24,28,4,65_2
14222,67,26,28,2,65_2
14223,62,24,26,2,60_2
14224,64,24,28,4,65_2
14225,65,26,28,2,62_2
14226,67,24,28,4,71_2
14227,69,26,28,2,65_2
14228,64,26,28,2,65_2
14229,71,16,20,4,60_4
14230,71,16,20,4,64_4
14231,65,26,28,2,69_2
14232,65,26,28,2,69_2
14233,69,26,28,2,69_2
14234,67,20,24,4,69_4
14235,62,24,28,4,62_2
14236,67,22,24,2,71_4
14237,69,26,28,2,65_2
14238,64,24,26,2,65_2
14239,69,4,6,2,71_2
14240,67,18,20,2,60_2
14241,64,26,28,2,64_2
14242,71,24,26,2,60_2
14243,62,26,28,2,64_2
14244,71,24,28,4,67_2
14245,67,26,28,2,69_2
14246,67,20,24,4,69_4
14247,65,24,26,2,64_2
14248,65,2,4,2,71_4
14249,60,24,26,2,65_2
14250,67,24,28,4,65_2
14251,60,26,28,2,67_2
14252,60,24,26,2,64_2
14253,69,26,28,2,69_2
14254,62,26,28,2,65_2
14255,62,26,28,2,65_2
14256,71,26,28,2,65_2
14257,71,25,26,1,62_2
14258,65,22,24,2,67_4
14259,65,22,24,2,67_4
14260,65,22,24,2,67_4
14261,65,22,24,2,67_4
14262,65,22,24,2,67_4
14263,67,24,26,2,60_2
14264,67,24,26,2,60_2
14265,65,24,26,2,61_2
14266,65,24,26,2,61_2
14267,64,26,27,1,64_1
14268,71,4,8,4,67_2
14269,65,24,26,2,69_2
14270,67,26,28,2,62_2
14271,65,4,8,4,65_4
14272,65,26,28,2,62_2
14273,60,24,26,2,64_2
14274,60,26,28,2,71_2
14275,64,26,28,2,62_2
14276,60,26,28,2,71_2
14277,64,26,28,2,69_2
14278,64,26,28,2,69_2
14279,62,2,4,2,67_4
14280,67,26,28,2,71_2
14281,67,26,28,2,65_2
14282,69,24,26,2,71_2
14283,71,2,4,2,60_2
14284,67,2,4,2,60_2
14285,71,18,20,2,69_2
14286,64,18,20,2,64_2
14287,67,18,20,2,69_2
14288,69,26,28,2,62_2
14289,65,26,28,2,67_2
14290,71,26,28,2,64_2
14291,60,26,28,2,69_2
14292,65,26,28,2,69_2
14293,60,12,14,2,62_2
14294,71,24,26,2,67_2
14295,71,24,26,2,60_2
14296,60,2,4,2,71_2
14297,60,22,24,2,67_4
14298,69,26,28,2,64_2
14299,60,24,28,4,62_2
14300,67,8,10,2,65_2
14301,62,20,24,4,65_4
14302,62,2,4,2,64_2
14303,67,26,28,2,71_2
14304,64,26,28,2,59_2
14305,71,24,28,4,62_2
14306,65,20,24,4,62_4
14307,65,26,28,2,64_2
14308,62,26,28,2,64_2
14309,60,26,28,2,69_2
14310,62,24,26,2,65_2
14311,60,4,6,2,65_2
14312,60,26,28,2,62_2
14313,62,26,28,2,71_2
14314,67,26,28,2,67_2
14315,62,22,24,2,65_2
14316,65,26,28,2,60_2
14317,71,20,24,4,62_4
14318,71,20,24,4,62_4
14319,60,20,24,4,67_4
14320,64,2,4,2,71_2
14321,62,26,28,2,60_2
14322,67,26,28,2,64_2
14323,67,26,28,2,64_2
14324,64,24,26,2,67_2
14325,64,22,24,2,62_2
14326,71,26,28,2,62_2
14327,62,26,28,2,69_2
14328,65,26,28,2,65_2
14329,65,26,28,2,65_2
14330,62,4,6,2,60_2
14331,65,22,24,2,69_4
14332,69,26,28,2,60_2
14333,71,24,26,2,67_2
14334,64,22,24,2,65_2
14335,67,20,22,2,67_2
14336,65,26,28,2,60_2
14337,67,22,24,2,71_4
14338,60,26,28,2,64_2
14339,64,24,26,2,64_2
14340,67,26,28,2,67_2
14341,65,26,28,2,71_2
14342,65,22,24,2,60_4
14343,62,24,28,4,60_2
14344,65,26,28,2,67_2
14345,65,26,28,2,62_2
14346,64,20,24,4,60_4
14347,60,26,28,2,69_2
14348,67,26,28,2,69_2
14349,60,26,28,2,67_2
14350,60,23,24,1,60_1
14351,60,26,28,2,65_2
14352,65,20,24,4,64_4
14353,65,20,24,4,64_4
14354,60,26,28,2,69_2
14355,62,24,26,2,67_2
14356,62,12,14,2,67_2
14357,60,26,28,2,67_3
14358,69,26,28,2,65_2
14359,71,26,28,2,69_2
14360,64,24,26,2,60_2
14361,69,18,20,2,62_2
14362,71,26,28,2,62_2
14363,64,24,28,4,60_2
14364,60,20,24,4,71_4
14365,65,26,28,2,71_2
14366,67,20,24,4,69_4
14367,64,26,28,2,64_2
14368,64,26,28,2,64_2
14369,62,26,28,2,67_2
14370,64,22,24,2,60_4
14371,69,12,14,2,65_2
14372,69,26,28,2,65_2
14373,65,26,28,2,65_2
14374,62,2,4,2,69_2
14375,64,10,12,2,60_2
14376,71,10,12,2,62_4
14377,65,26,28,2,62_2
14378,67,22,24,2,67_4
14379,69,26,28,2,67_2
14380,64,26,28,2,69_2
14381,62,24,28,4,67_2
14382,64,10,12,2,60_2
14383,67,24,28,4,67_2
14384,57,20,24,4,57_2
14385,67,24,28,4,62_2
14386,69,24,28,4,60_2
14387,64,22,24,2,64_4
14388,64,22,24,2,64_4
14389,64,22,24,2,64_4
14390,69,20,24,4,67_4
14391,71,24,26,2,60_2
14392,62,26,28,2,69_2
14393,64,26,28,2,62_2
14394,64,26,28,2,62_2
14395,64,26,28,2,60_2
14396,69,26,28,2,69_2
14397,67,24,28,4,60_2
14398,62,24,26,2,62_2
14399,67,25,26,1,65_1
14400,64,26,28,2,60_2
14401,60,26,28,2,71_2
14402,71,24,28,4,65_2
14403,67,4,8,4,64_4
14404,65,24,28,4,71_2
14405,62,24,28,4,71_2
14406,71,20,24,4,71_2
14407,64,26,28,2,65_2
14408,65,24,28,4,60_2
14409,71,26,28,2,62_2
14410,71,24,28,4,71_2
14411,62,12,16,4,62_4
14412,71,26,28,2,60_2
14413,67,26,28,2,69_2
14414,67,26,28,2,60_2
14415,64,26,28,2,65_2
14416,69,22,24,2,67_4
14417,71,26,28,2,64_2
